szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 1 ; 1 ; 100 ; 0 ; 100 ; 1 ; 0 ; 2.3074146341463413 ; 6.829268292682926E-4 ; 236.51 ; 0 ; 0 ; 0
indian ; 2 ; 1 ; 107 ; 0 ; 105 ; 2 ; 0 ; 2.501268292682927 ; 3.902439024390244E-4 ; 241.57142857142858 ; 0 ; 0 ; 0
indian ; 3 ; 1 ; 101 ; 0 ; 98 ; 1.4 ; 0 ; 2.2866341463414632 ; 6.829268292682926E-4 ; 236.90816326530611 ; 0 ; 0 ; 0
indian ; 4 ; 1 ; 104 ; 0 ; 102 ; 0 ; 0 ; 2.2198048780487807 ; 0 ; 218.9607843137255 ; 0 ; 0 ; 0
indian ; 5 ; 1 ; 119 ; 0 ; 115 ; 1.75 ; 0.1 ; 2.6721951219512197 ; 0.0021463414634146343 ; 232.0695652173913 ; 0 ; 0 ; 0
indian ; 6 ; 1 ; 99 ; 0 ; 97 ; 1.25 ; 0 ; 2.1058536585365855 ; 9.75609756097561E-4 ; 218.79381443298968 ; 0 ; 0 ; 0
indian ; 7 ; 1 ; 100 ; 0 ; 97 ; 1 ; 0 ; 2.3309268292682925 ; 3.902439024390244E-4 ; 244.8659793814433 ; 0 ; 0 ; 0
indian ; 8 ; 1 ; 104 ; 0 ; 101 ; 1 ; 0 ; 2.4158048780487804 ; 1.951219512195122E-4 ; 241.0891089108911 ; 0 ; 0 ; 0
indian ; 9 ; 1 ; 123 ; 0 ; 119 ; 2 ; 0 ; 2.584487804878049 ; 9.75609756097561E-4 ; 215.32773109243698 ; 0 ; 0 ; 0
indian ; 10 ; 1 ; 88 ; 0 ; 87 ; 0 ; 0 ; 2.2371707317073173 ; 0 ; 263 ; 0 ; 0 ; 0
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 1 ; 2 ; 210 ; 0 ; 205 ; 1.7692307692307692 ; 0 ; 4.94809756097561 ; 0.00224390243902439 ; 243.55609756097562 ; 0 ; 0 ; 0
indian ; 2 ; 2 ; 200 ; 0 ; 197 ; 1.3 ; 0 ; 4.734341463414634 ; 0.0013658536585365853 ; 243.9238578680203 ; 0 ; 0 ; 0
indian ; 3 ; 2 ; 219 ; 0 ; 212 ; 1.5 ; 0 ; 5.063121951219512 ; 0.0014634146341463415 ; 240.82075471698113 ; 0 ; 0 ; 0
indian ; 4 ; 2 ; 195 ; 0 ; 190 ; 1.5 ; 0 ; 4.0950243902439025 ; 0.0011707317073170731 ; 216.87894736842105 ; 0 ; 0 ; 0
indian ; 5 ; 2 ; 191 ; 0 ; 187 ; 1.25 ; 0 ; 4.56370731707317 ; 0.0014634146341463415 ; 245.93048128342247 ; 0 ; 0 ; 0
indian ; 6 ; 2 ; 201 ; 0 ; 192 ; 1.625 ; 0.1 ; 4.623317073170732 ; 0.0025365853658536586 ; 239.484375 ; 0 ; 0 ; 0
indian ; 7 ; 2 ; 218 ; 0 ; 209 ; 1.3333333333333333 ; 0 ; 4.837756097560976 ; 0.002048780487804878 ; 231.04784688995215 ; 0 ; 0 ; 0
indian ; 8 ; 2 ; 221 ; 0 ; 215 ; 1.2307692307692308 ; 0.1 ; 5.311024390243903 ; 0.0031219512195121953 ; 247.53023255813955 ; 0 ; 0 ; 0
indian ; 9 ; 2 ; 207 ; 0 ; 201 ; 1.3529411764705883 ; 0 ; 4.829951219512195 ; 0.00224390243902439 ; 243.75124378109453 ; 0 ; 0 ; 0
indian ; 10 ; 2 ; 190 ; 0 ; 185 ; 1.5 ; 0.1 ; 4.298243902439024 ; 0.002926829268292683 ; 234.51351351351352 ; 0 ; 0 ; 0
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 1 ; 3 ; 317 ; 0 ; 310 ; 1.5945945945945945 ; 0.1 ; 6.875512195121951 ; 0.00575609756097561 ; 223.78064516129032 ; 0 ; 0 ; 0
indian ; 2 ; 3 ; 284 ; 0 ; 271 ; 1.7297297297297298 ; 0.1 ; 6.615414634146341 ; 0.006439024390243902 ; 243.2140221402214 ; 0 ; 0 ; 0
indian ; 3 ; 3 ; 309 ; 0 ; 303 ; 1.2666666666666666 ; 0.1 ; 7.119317073170731 ; 0.0037073170731707315 ; 236.1848184818482 ; 0 ; 0 ; 0
indian ; 4 ; 3 ; 281 ; 0 ; 277 ; 1.475 ; 0.1 ; 6.3315121951219515 ; 0.00575609756097561 ; 231.67509025270758 ; 0 ; 0 ; 0
indian ; 5 ; 3 ; 320 ; 0 ; 315 ; 1.488888888888889 ; 0.1 ; 7.725268292682927 ; 0.0066341463414634145 ; 248.98730158730157 ; 0 ; 0 ; 0
indian ; 6 ; 3 ; 308 ; 0 ; 299 ; 1.4102564102564104 ; 0.1 ; 7.311121951219512 ; 0.0056585365853658535 ; 247.20066889632108 ; 0 ; 0 ; 0
indian ; 7 ; 3 ; 304 ; 0 ; 301 ; 1.9111111111111112 ; 0.1 ; 7.0344390243902435 ; 0.008487804878048781 ; 236.72425249169436 ; 0 ; 0 ; 0
indian ; 8 ; 3 ; 300 ; 0 ; 292 ; 1.441860465116279 ; 0.1 ; 6.921853658536586 ; 0.006146341463414634 ; 239.92123287671234 ; 0 ; 0 ; 0
indian ; 9 ; 3 ; 299 ; 0 ; 291 ; 1.3846153846153846 ; 0.1 ; 7.052878048780488 ; 0.0038048780487804877 ; 244.28178694158075 ; 0 ; 0 ; 0
indian ; 10 ; 3 ; 308 ; 0 ; 304 ; 1.3 ; 0.1 ; 6.893658536585366 ; 0.005073170731707317 ; 231.05263157894737 ; 0 ; 0 ; 0
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 1 ; 4 ; 436 ; 0 ; 425 ; 1.4886363636363635 ; 0.1 ; 10.213170731707317 ; 0.01375609756097561 ; 240.86588235294118 ; 0 ; 0 ; 0
indian ; 2 ; 4 ; 378 ; 0 ; 369 ; 1.5 ; 0.1 ; 8.95209756097561 ; 0.011317073170731707 ; 245.88346883468836 ; 0 ; 0 ; 0
indian ; 3 ; 4 ; 396 ; 0 ; 392 ; 1.6 ; 0.1 ; 9.522634146341463 ; 0.01121951219512195 ; 247.84438775510205 ; 0 ; 0 ; 0
indian ; 4 ; 4 ; 413 ; 0 ; 409 ; 1.6935483870967742 ; 0.1 ; 9.754536585365853 ; 0.010341463414634147 ; 243.53056234718827 ; 0 ; 0 ; 0
indian ; 5 ; 4 ; 417 ; 0 ; 409 ; 1.4029850746268657 ; 0.1 ; 9.34790243902439 ; 0.009268292682926829 ; 232.62102689486554 ; 0 ; 0 ; 0
indian ; 6 ; 4 ; 419 ; 0 ; 407 ; 1.5434782608695652 ; 0.1 ; 9.532390243902439 ; 0.006926829268292683 ; 236.25061425061426 ; 0 ; 0 ; 0
indian ; 7 ; 4 ; 409 ; 0 ; 400 ; 1.4393939393939394 ; 0.1 ; 10.012682926829267 ; 0.009365853658536585 ; 252.7525 ; 0 ; 0 ; 0
