spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
1 ; 104.5 ; 0 ; 102.1 ; 1.1400000000000001 ; 0.01 ; 2.3661560975609754 ; 6.439024390243903E-4 ; 234.90965751856123 ; 0 ; 0 ; 0
2 ; 205.2 ; 0 ; 199.3 ; 1.436127450980392 ; 0.030000000000000006 ; 4.730458536585366 ; 0.0020585365853658536 ; 238.74373505405202 ; 0 ; 0 ; 0
3 ; 303 ; 0 ; 296.3 ; 1.5002723250979069 ; 0.09999999999999999 ; 6.988097560975609 ; 0.005746341463414633 ; 238.3022450408625 ; 0 ; 0 ; 0
4 ; 415.3 ; 0 ; 407.4 ; 1.527556787369665 ; 0.09999999999999999 ; 9.766653658536583 ; 0.011053658536585366 ; 242.98594905615883 ; 0 ; 0 ; 0
5 ; 513.6 ; 0 ; 501.7 ; 1.5613524401887628 ; 0.16 ; 11.966458536585368 ; 0.01846829268292683 ; 240.9734900462983 ; 0 ; 0 ; 0
6 ; 613.2 ; 0 ; 599 ; 1.5346422279232887 ; 0.18 ; 14.145970731707319 ; 0.02631219512195122 ; 238.62865556809683 ; 0 ; 0 ; 0
7 ; 727.5 ; 0 ; 710 ; 1.5690220591648658 ; 0.19999999999999998 ; 16.858848780487804 ; 0.03481951219512195 ; 239.9471673686457 ; 0 ; 0 ; 0
8 ; 829.7 ; 0 ; 810.7 ; 1.5969860880985258 ; 0.25000000000000006 ; 19.337151219512197 ; 0.04946341463414634 ; 241.03413435426856 ; 0 ; 0 ; 0
9 ; 930.7 ; 0 ; 903.8 ; 1.559399866168087 ; 0.29999999999999993 ; 21.640575609756095 ; 0.06585365853658538 ; 241.11886382785534 ; 0 ; 0 ; 0
10 ; 1041.6 ; 0 ; 1015.9 ; 1.5447302021941252 ; 0.33999999999999997 ; 24.33361951219512 ; 0.0812390243902439 ; 241.55362725441054 ; 0 ; 0 ; 0
11 ; 1139.1 ; 0 ; 1113 ; 1.5700605331909656 ; 0.37999999999999995 ; 26.420321951219517 ; 0.09945365853658536 ; 239.7071709067844 ; 0 ; 0 ; 0
12 ; 1228.7 ; 0 ; 1200.2 ; 1.5616187218086344 ; 0.41 ; 28.657190243902438 ; 0.11880000000000002 ; 241.22472396817616 ; 0 ; 0 ; 0
13 ; 1345.1 ; 0 ; 1312.4 ; 1.556062176280495 ; 0.45999999999999996 ; 31.412243902439023 ; 0.14278048780487804 ; 241.70698844263956 ; 0 ; 0 ; 0
14 ; 1439.1 ; 0.1 ; 1406.5 ; 1.5598153200144396 ; 0.52 ; 33.706185365853656 ; 0.1713170731707317 ; 242.2485326416544 ; 0 ; 0 ; 0
15 ; 1540.4 ; 0 ; 1506.6 ; 1.581292850683885 ; 0.57 ; 36.00881951219512 ; 0.20697560975609758 ; 241.76332873588998 ; 0 ; 0 ; 0
16 ; 1640 ; 0.1 ; 1602.2 ; 1.589548312382237 ; 0.6299999999999999 ; 38.5438243902439 ; 0.23884878048780492 ; 242.9504829335463 ; 0 ; 0 ; 0
17 ; 1724.4 ; 0.2 ; 1682.6 ; 1.5866488723430634 ; 0.66 ; 40.206302439024384 ; 0.2693951219512195 ; 241.21306626598547 ; 0 ; 0 ; 0
18 ; 1844.7 ; 0 ; 1799.5 ; 1.5800097571965102 ; 0.76 ; 43.21126829268293 ; 0.3261268292682927 ; 242.10795790086982 ; 0 ; 0 ; 0
19 ; 1959 ; 0.1 ; 1909.5 ; 1.6037058002403277 ; 0.86 ; 45.90186341463415 ; 0.39131707317073167 ; 242.5222524881106 ; 0 ; 0 ; 0
20 ; 2050.1 ; 0.4 ; 1999.9 ; 1.579428666098821 ; 0.8900000000000002 ; 48.02706341463414 ; 0.43235121951219513 ; 242.4354459244649 ; 0 ; 0 ; 0
21 ; 2143.2 ; 0.8 ; 2088.9 ; 1.5894415243136395 ; 0.97 ; 50.29644878048781 ; 0.4913170731707317 ; 242.98391969190885 ; 0 ; 0 ; 0
22 ; 2269.3 ; 0.7 ; 2215.2 ; 1.6085289686850035 ; 1.1199999999999997 ; 53.470985365853664 ; 0.5939512195121951 ; 243.76145629763096 ; 0 ; 0 ; 0
23 ; 2357.7 ; 0.5 ; 2303.2 ; 1.5980545024118853 ; 1.1599999999999997 ; 55.67228292682927 ; 0.6509365853658537 ; 244.29597699156838 ; 0 ; 0 ; 0
24 ; 2473.1 ; 1.1 ; 2413.5 ; 1.6132591302662302 ; 1.3200000000000003 ; 58.26586341463415 ; 0.7711317073170731 ; 243.730162039258 ; 0 ; 0 ; 0
