szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 195 ; 0 ; 143 ; 8.735537190082646 ; 14.4 ; 37.5064 ; 5.4096 ; 257.2867132867133 ; 15 ; 15 ; 15
constant ; 2 ; 15 ; 177 ; 0 ; 135 ; 8.229979466119097 ; 11.7 ; 32.7264 ; 3.836 ; 253.96296296296296 ; 15 ; 15 ; 15
constant ; 3 ; 15 ; 181 ; 0 ; 135 ; 8.83956043956044 ; 12 ; 34.2176 ; 4.1176 ; 254.63703703703703 ; 15 ; 15 ; 15
constant ; 4 ; 15 ; 176 ; 0 ; 129 ; 9.203463203463203 ; 14.4 ; 34.772 ; 4.9976 ; 263.4573643410853 ; 15 ; 15 ; 15
constant ; 5 ; 15 ; 181 ; 0 ; 148 ; 8.93525179856115 ; 10.7 ; 32.3584 ; 3.4688 ; 237.97297297297297 ; 15 ; 15 ; 15
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 169 ; 0 ; 141 ; 10.512770137524559 ; 15.1 ; 32.236 ; 4.8672 ; 254.13475177304966 ; 15 ; 15 ; 30
constant ; 2 ; 15 ; 204 ; 0 ; 148 ; 8.589411764705883 ; 20.9 ; 44.3296 ; 9.2768 ; 285.30405405405406 ; 15 ; 15 ; 30
constant ; 3 ; 15 ; 201 ; 0 ; 152 ; 10.292349726775956 ; 18.6 ; 40.8024 ; 7.584 ; 280.625 ; 15 ; 15 ; 30
constant ; 4 ; 15 ; 180 ; 0 ; 140 ; 10.113924050632912 ; 15 ; 35.9976 ; 5.412 ; 263.87142857142857 ; 15 ; 15 ; 30
constant ; 5 ; 15 ; 188 ; 0 ; 138 ; 10.852173913043478 ; 17.8 ; 36.9048 ; 6.576 ; 269.7463768115942 ; 15 ; 15 ; 30
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 183 ; 0 ; 129 ; 11.012027491408935 ; 17.8 ; 37.408 ; 6.6656 ; 283.015503875969 ; 15 ; 15 ; 45
constant ; 2 ; 15 ; 176 ; 0 ; 135 ; 12.341796875 ; 17.1 ; 35.4832 ; 6.064 ; 274.72592592592594 ; 15 ; 15 ; 45
constant ; 3 ; 15 ; 186 ; 0 ; 137 ; 11.998043052837573 ; 17.7 ; 37.4328 ; 6.6392 ; 264.24087591240874 ; 15 ; 15 ; 45
constant ; 4 ; 15 ; 171 ; 0 ; 126 ; 11.42905982905983 ; 18.6 ; 35.0616 ; 6.5112 ; 285.6746031746032 ; 15 ; 15 ; 45
constant ; 5 ; 15 ; 185 ; 0 ; 130 ; 12.31860465116279 ; 19.2 ; 35.0208 ; 6.7088 ; 257.0846153846154 ; 15 ; 15 ; 45
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 181 ; 0 ; 138 ; 12.948669201520913 ; 18.5 ; 37.3096 ; 6.9 ; 275.2971014492754 ; 15 ; 15 ; 60
constant ; 2 ; 15 ; 162 ; 0 ; 124 ; 11.937614678899083 ; 19.8 ; 33.2176 ; 6.5888 ; 278.5241935483871 ; 15 ; 15 ; 60
constant ; 3 ; 15 ; 180 ; 0 ; 126 ; 12.34020618556701 ; 20.3 ; 33.6512 ; 6.8336 ; 253.9126984126984 ; 15 ; 15 ; 60
constant ; 4 ; 15 ; 204 ; 0 ; 150 ; 11.23235294117647 ; 20.2 ; 43.0352 ; 8.6976 ; 270.8066666666667 ; 15 ; 15 ; 60
constant ; 5 ; 15 ; 193 ; 0 ; 141 ; 11.96029411764706 ; 22.6 ; 38.5008 ; 8.688 ; 266.9503546099291 ; 15 ; 15 ; 60
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
