szenario ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 15 ; 182 ; 0 ; 138 ; 8.788758419557308 ; 12.64 ; 34.31616 ; 4.36592 ; 253.46341012015426 ; 15 ; 15 ; 15
constant ; 15 ; 188.4 ; 0 ; 143.8 ; 10.072125918536559 ; 17.479999999999997 ; 38.05408 ; 6.7432 ; 270.73632224202527 ; 15 ; 15 ; 30
constant ; 15 ; 180.2 ; 0 ; 131.4 ; 11.819906379893826 ; 18.080000000000005 ; 36.08128000000001 ; 6.51776 ; 272.9483048547045 ; 15 ; 15 ; 45
constant ; 15 ; 184 ; 0 ; 135.8 ; 12.083827424962108 ; 20.28 ; 37.14288 ; 7.541600000000001 ; 269.0982029373913 ; 15 ; 15 ; 60
constant ; 15 ; 188.2 ; 0.2 ; 143.8 ; 10.330584930030465 ; 16.660000000000004 ; 38.06912 ; 6.338240000000001 ; 277.00861612174174 ; 15 ; 30 ; 15
constant ; 15 ; 192.2 ; 0 ; 142.8 ; 10.615603253997108 ; 21.439999999999998 ; 40.899840000000005 ; 8.91232 ; 286.66319409591966 ; 15 ; 30 ; 30
constant ; 15 ; 198.6 ; 0 ; 143.6 ; 12.986330122208793 ; 27.060000000000002 ; 43.84192 ; 12.14288 ; 290.42515329024866 ; 15 ; 30 ; 45
constant ; 15 ; 190.8 ; 0 ; 133.2 ; 13.46779540545946 ; 26.160000000000004 ; 41.960159999999995 ; 11.20944 ; 299.9341736184158 ; 15 ; 30 ; 60
constant ; 15 ; 183.2 ; 0 ; 131.6 ; 12.89062871473558 ; 24.12 ; 38.54624 ; 9.38208 ; 290.84990769140256 ; 15 ; 45 ; 15
constant ; 15 ; 188 ; 0 ; 136.6 ; 14.331762233894446 ; 27.22 ; 42.09104 ; 11.59216 ; 306.2528930735824 ; 15 ; 45 ; 30
constant ; 15 ; 190.6 ; 0 ; 131.4 ; 16.41851742855168 ; 30.2 ; 44.223679999999995 ; 13.742560000000003 ; 314.0900252611583 ; 15 ; 45 ; 45
constant ; 15 ; 184.4 ; 0 ; 130.6 ; 15.393361229389559 ; 30.18 ; 43.21232 ; 13.096960000000001 ; 315.9366983767018 ; 15 ; 45 ; 60
constant ; 15 ; 180.4 ; 0.2 ; 130.4 ; 15.345625592410462 ; 31.2 ; 43.78688 ; 13.79504 ; 326.9392911787322 ; 15 ; 60 ; 15
constant ; 15 ; 179.6 ; 0.2 ; 123.6 ; 15.196345315921405 ; 34.120000000000005 ; 44.6008 ; 15.325120000000002 ; 341.4854128385276 ; 15 ; 60 ; 30
constant ; 15 ; 187.4 ; 0 ; 125.2 ; 15.570328069205349 ; 32.68 ; 44.96528 ; 14.810399999999998 ; 327.81247674382007 ; 15 ; 60 ; 45
constant ; 15 ; 185.6 ; 0.2 ; 122.2 ; 16.687110223445586 ; 36.76 ; 45.818079999999995 ; 16.9152 ; 338.20735731349833 ; 15 ; 60 ; 60
constant ; 15 ; 184 ; 0 ; 137.6 ; 9.113683365043752 ; 13.9 ; 35.37344 ; 4.961119999999999 ; 261.50426366299445 ; 30 ; 15 ; 15
constant ; 15 ; 186.4 ; 0 ; 144.8 ; 10.572107739855417 ; 16.86 ; 37.62704 ; 6.368 ; 270.67520209345014 ; 30 ; 15 ; 30
constant ; 15 ; 187.4 ; 0 ; 140.4 ; 11.389073387896394 ; 20.84 ; 39.05344 ; 8.189919999999999 ; 273.61235592760625 ; 30 ; 15 ; 45
constant ; 15 ; 196.6 ; 0 ; 147.4 ; 10.973237242955294 ; 21.880000000000003 ; 40.89552 ; 9.016480000000001 ; 279.25494843864215 ; 30 ; 15 ; 60
constant ; 15 ; 197.4 ; 0 ; 148.8 ; 9.995136814963661 ; 23.740000000000002 ; 44.09456 ; 10.536159999999999 ; 303.43570943852154 ; 30 ; 30 ; 15
constant ; 15 ; 186.6 ; 0 ; 139.4 ; 11.563653441220298 ; 22.059999999999995 ; 39.69408 ; 8.88544 ; 287.88153222457623 ; 30 ; 30 ; 30
constant ; 15 ; 199.2 ; 0 ; 145.2 ; 13.365185569977154 ; 24.060000000000002 ; 42.54992000000001 ; 10.3712 ; 293.2475720816485 ; 30 ; 30 ; 45
constant ; 15 ; 186 ; 0 ; 130.2 ; 13.197274324090387 ; 26.7 ; 41.11296 ; 11.08144 ; 299.07185723207874 ; 30 ; 30 ; 60
constant ; 15 ; 184.4 ; 0.2 ; 132.8 ; 13.817272994078081 ; 22.439999999999998 ; 39.47344 ; 8.86224 ; 298.84297198625956 ; 30 ; 45 ; 15
constant ; 15 ; 188.8 ; 0.6 ; 135.4 ; 13.936462129073323 ; 28.380000000000003 ; 42.298719999999996 ; 12.047039999999999 ; 306.95115470629867 ; 30 ; 45 ; 30
constant ; 15 ; 181.2 ; 0.2 ; 131.4 ; 16.874655480714445 ; 31.439999999999998 ; 42.783519999999996 ; 13.72944 ; 319.5257177416255 ; 30 ; 45 ; 45
constant ; 15 ; 193.2 ; 0.4 ; 132.2 ; 14.985554667453545 ; 32.67999999999999 ; 45.22624 ; 14.83792 ; 316.130846930847 ; 30 ; 45 ; 60
constant ; 15 ; 197 ; 0.4 ; 138.6 ; 14.226849452961108 ; 33.38 ; 48.39424 ; 16.454079999999998 ; 334.9965484022556 ; 30 ; 60 ; 15
constant ; 15 ; 184.2 ; 0.2 ; 122 ; 15.66293276727371 ; 32.54 ; 44.26448 ; 14.615039999999999 ; 331.5891373784262 ; 30 ; 60 ; 30
constant ; 15 ; 197 ; 0 ; 135.2 ; 17.005275893449753 ; 32.239999999999995 ; 46.4296 ; 15.019839999999999 ; 324.9116541529673 ; 30 ; 60 ; 45
constant ; 15 ; 183.6 ; 0 ; 122.8 ; 17.737966631167595 ; 38.06 ; 47.12895999999999 ; 18.055519999999998 ; 353.5330964667356 ; 30 ; 60 ; 60
constant ; 15 ; 187.2 ; 0 ; 142.4 ; 9.574988400541786 ; 15.12 ; 37.35472 ; 5.7881599999999995 ; 269.39913657829163 ; 45 ; 15 ; 15
constant ; 15 ; 184.4 ; 0 ; 139.6 ; 10.833246852488235 ; 16.98 ; 37.08496 ; 6.29488 ; 270.01955024176925 ; 45 ; 15 ; 30
constant ; 15 ; 183.2 ; 0 ; 137.4 ; 12.36918703820518 ; 19.639999999999997 ; 36.56944 ; 7.280320000000001 ; 271.30629462246577 ; 45 ; 15 ; 45
constant ; 15 ; 187.2 ; 0 ; 138 ; 11.96000301314378 ; 23.52 ; 40.422880000000006 ; 9.56608 ; 283.127713348434 ; 45 ; 15 ; 60
constant ; 15 ; 190.2 ; 0 ; 145.6 ; 11.187898095558761 ; 18.839999999999996 ; 39.32912 ; 7.46096 ; 280.5330577365897 ; 45 ; 30 ; 15
constant ; 15 ; 185.2 ; 0 ; 137 ; 11.392637002477745 ; 19.88 ; 39.5512 ; 7.95984 ; 292.62778191473365 ; 45 ; 30 ; 30
constant ; 15 ; 184.2 ; 0 ; 132.6 ; 14.444122946486843 ; 24.18 ; 40.3848 ; 9.76112 ; 293.4465731546679 ; 45 ; 30 ; 45
constant ; 15 ; 180.8 ; 0 ; 129.8 ; 14.34870937075282 ; 24.78 ; 38.523039999999995 ; 9.55904 ; 290.6354901027609 ; 45 ; 30 ; 60
constant ; 15 ; 177.2 ; 0 ; 127.8 ; 14.252044780603882 ; 23.2 ; 38.23744000000001 ; 8.96512 ; 296.86712112308624 ; 45 ; 45 ; 15
constant ; 15 ; 189.6 ; 0 ; 134 ; 14.50476644788975 ; 29.28 ; 42.792320000000004 ; 12.61872 ; 302.1936804825569 ; 45 ; 45 ; 30
constant ; 15 ; 192.2 ; 0.2 ; 127 ; 16.089863760655124 ; 34.24 ; 46.8136 ; 16.288800000000002 ; 331.25410808997765 ; 45 ; 45 ; 45
constant ; 15 ; 198.4 ; 0.2 ; 132.4 ; 15.870317521154353 ; 34.3 ; 47.2288 ; 16.332479999999997 ; 329.2437156687362 ; 45 ; 45 ; 60
constant ; 15 ; 190 ; 0.4 ; 130 ; 15.70503510634641 ; 32.46 ; 46.273120000000006 ; 15.040000000000001 ; 334.48430676960163 ; 45 ; 60 ; 15
constant ; 15 ; 180.4 ; 0 ; 127.4 ; 16.292375900921286 ; 32.32000000000001 ; 44.247840000000004 ; 14.310559999999999 ; 333.20729935192566 ; 45 ; 60 ; 30
constant ; 15 ; 185.2 ; 0 ; 128.4 ; 16.099076656521678 ; 33.86 ; 45.448640000000005 ; 15.546879999999998 ; 330.239885045066 ; 45 ; 60 ; 45
constant ; 15 ; 182.8 ; 0.2 ; 116.8 ; 17.93807625449858 ; 37.96 ; 46.74544 ; 17.79504 ; 352.37657697016465 ; 45 ; 60 ; 60
constant ; 15 ; 188.2 ; 0 ; 146.6 ; 9.856114276831374 ; 15.360000000000003 ; 37.01216 ; 5.73552 ; 265.4924401843957 ; 60 ; 15 ; 15
constant ; 15 ; 180 ; 0 ; 134.2 ; 11.160988361088172 ; 19.3 ; 36.420959999999994 ; 7.164959999999999 ; 272.69743960214015 ; 60 ; 15 ; 30
constant ; 15 ; 183 ; 0 ; 139 ; 12.312683532836838 ; 19.5 ; 37.3664 ; 7.29536 ; 277.82123766390066 ; 60 ; 15 ; 45
constant ; 15 ; 187 ; 0 ; 137.2 ; 13.88526079266623 ; 22.28 ; 38.02912 ; 8.489279999999999 ; 273.14860692229 ; 60 ; 15 ; 60
constant ; 15 ; 182.4 ; 0 ; 138.4 ; 11.137036579187713 ; 20.22 ; 38.78976 ; 7.954079999999999 ; 285.99649384368473 ; 60 ; 30 ; 15
constant ; 15 ; 186.8 ; 0 ; 139.2 ; 13.67997166320455 ; 19.939999999999998 ; 38.268640000000005 ; 7.6608 ; 275.14840462427145 ; 60 ; 30 ; 30
constant ; 15 ; 183.4 ; 0 ; 124.4 ; 14.073501340696543 ; 26.139999999999997 ; 39.5784 ; 10.545599999999999 ; 296.3513779977672 ; 60 ; 30 ; 45
constant ; 15 ; 191.4 ; 0 ; 134.6 ; 14.830066634993761 ; 26.48 ; 41.90528 ; 11.21648 ; 296.6607090620335 ; 60 ; 30 ; 60
constant ; 15 ; 194.8 ; 0.2 ; 142.2 ; 13.985135093236007 ; 24.18 ; 42.94064 ; 10.43984 ; 307.2986196826177 ; 60 ; 45 ; 15
