szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 1 ; 15 ; 194 ; 0 ; 156 ; 1.5 ; 0.5 ; 30.7936 ; 0.168 ; 213.62179487179486 ; 0 ; 0 ; 0
indian ; 2 ; 15 ; 180 ; 0 ; 155 ; 1.5208333333333333 ; 0.6 ; 32.1304 ; 0.1824 ; 236.40645161290323 ; 0 ; 0 ; 0
indian ; 3 ; 15 ; 193 ; 0 ; 150 ; 1.5963302752293578 ; 0.6 ; 30.9216 ; 0.1768 ; 218.66666666666666 ; 0 ; 0 ; 0
indian ; 4 ; 15 ; 195 ; 0 ; 155 ; 1.5595238095238095 ; 0.4 ; 31.3592 ; 0.1256 ; 216.99354838709678 ; 0 ; 0 ; 0
indian ; 5 ; 15 ; 167 ; 0 ; 146 ; 1.5106382978723405 ; 0.4 ; 28.0936 ; 0.116 ; 223.65753424657535 ; 0 ; 0 ; 0
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 188 ; 0 ; 146 ; 8.902 ; 11.9 ; 36.3304 ; 4.3312 ; 257.8767123287671 ; 15 ; 15 ; 15
constant ; 2 ; 15 ; 203 ; 0 ; 155 ; 8.357873210633947 ; 11.6 ; 35.86 ; 4.144 ; 235.95483870967743 ; 15 ; 15 ; 15
constant ; 3 ; 15 ; 196 ; 0 ; 142 ; 8.459259259259259 ; 14.5 ; 40.684 ; 5.8896 ; 274.59859154929575 ; 15 ; 15 ; 15
constant ; 4 ; 15 ; 185 ; 0 ; 137 ; 8.85501066098081 ; 12.3 ; 32.7456 ; 4.0232 ; 245.13868613138686 ; 15 ; 15 ; 15
